Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,,
Type03,265,PURE_GPR,35.84663,32.29585,18.02441,3.83313,9.11823,0.36087,0.85073,0.91935,,,,,,,,,,,
Type03,265,PURE_KRR,35.05863,31.38587,16.18513,3.83167,11.62193,0.74919,0.85381,0.92114,,,,,,,,,,,
Type03,265,PURE_SVR,35.26585,31.65031,16.141,4.00961,10.85951,0.87902,0.85023,0.91906,,,,,,,,,,,
Type03,265,RATIO_CTRL,7.3066,6.89067,9.77391,5.68409,12.14659,7.31145,0.80818,0.89391,,,,,,,,,,,
Type03,270,PCA_GPR,30.56856,27.67443,16.88894,6.65763,61.12624,8.16291,0.7787,0.87558,,,,,,,,,,,
Type03,270,PCA_KRR,37.35373,33.79929,17.62311,4.69194,13.91134,4.10136,0.829,0.90651,,,,,,,,,,,
Type03,270,PCA_LINEAR,37.20554,33.79211,15.96698,4.55341,16.01637,4.44374,0.83521,0.91021,,,,,,,,,,,
Type03,270,PCA_SVR,37.21751,32.73857,16.59225,3.99791,247.86521,3.25216,0.85019,0.91903,,,,,,,,,,,
Type03,270,PURE_GPR,37.65938,34.27733,17.95137,5.12456,14.5469,4.91813,0.79323,0.88469,,,,,,,,,,,
Type03,270,PURE_KRR,37.31647,33.51897,17.49996,4.56962,15.63135,3.9028,0.83442,0.90974,,,,,,,,,,,
Type03,270,PURE_SVR,37.76305,34.23101,17.38139,4.6071,13.25684,3.70171,0.83886,0.91237,,,,,,,,,,,
Type03,270,RATIO_CTRL,2.81484,2.64875,3.89614,2.06529,7.5006,2.75736,0.90725,0.95137,,,,,,,,,,,
Type03,275,PCA_GPR,28.63631,26.02454,16.09748,5.97866,67.8956,4.50765,0.80982,0.89492,,,,,,,,,,,
Type03,275,PCA_KRR,37.25658,33.7613,16.86952,4.26902,2.60521,1.25287,0.85788,0.9235,,,,,,,,,,,
Type03,275,PCA_LINEAR,37.18002,33.54059,17.34835,3.54431,7.40184,0.50245,0.87064,0.93085,,,,,,,,,,,
Type03,275,PCA_SVR,36.93647,32.86172,18.42638,4.2302,12.7932,1.98955,0.85297,0.92065,,,,,,,,,,,
Type03,275,PURE_GPR,36.99436,33.47925,18.88179,3.86875,7.33667,0.22297,0.83786,0.91178,,,,,,,,,,,
Type03,275,PURE_KRR,37.26668,33.6279,16.92225,4.25769,4.18212,1.51642,0.85768,0.92339,,,,,,,,,,,
Type03,275,PURE_SVR,38.19421,34.81718,16.70241,4.73351,0.45398,1.75315,0.84489,0.91592,,,,,,,,,,,
Type03,275,RATIO_CTRL,8.1356,7.68515,8.9619,5.85287,17.24083,8.47102,0.81083,0.89553,,,,,,,,,,,
Type03,280,PCA_GPR,27.37747,25.3328,23.29571,7.55278,85.57702,5.88276,0.76842,0.86905,,,,,,,,,,,
Type03,280,PCA_KRR,37.95513,34.41142,15.14575,4.07107,2.64667,1.33323,0.85662,0.92277,,,,,,,,,,,
Type03,280,PCA_LINEAR,37.51524,33.90533,15.20775,3.51874,9.40254,0.38532,0.8717,0.93145,,,,,,,,,,,
Type03,280,PCA_SVR,37.69935,33.61698,16.33422,3.79797,9.79397,1.7247,0.86608,0.92823,,,,,,,,,,,
Type03,280,PURE_GPR,36.4216,32.87161,17.20393,3.65363,15.14494,0.77482,0.83183,0.9082,,,,,,,,,,,
Type03,280,PURE_KRR,38.0697,34.3664,15.08481,4.08089,3.67123,1.56441,0.86008,0.92478,,,,,,,,,,,
Type03,280,PURE_SVR,39.02156,35.62046,14.92707,4.42915,0.87612,1.8098,0.85421,0.92138,,,,,,,,,,,
Type03,280,RATIO_CTRL,6.6313,5.9373,9.79018,4.74666,14.79121,9.05832,0.83734,0.91147,,,,,,,,,,,
Type04,230,PCA_GPR,36.89653,34.873,19.01331,6.80147,41.69309,4.35662,0.75979,0.8635,,,,,,,,,,,
Type04,230,PCA_KRR,27.73655,24.50809,13.80153,2.39056,23.66447,0.42326,0.88953,0.94154,,,,,,,,,,,
Type04,230,PCA_LINEAR,24.4303,22.07394,14.96856,5.32851,46.25807,6.75193,0.78477,0.87941,,,,,,,,,,,
Type04,230,PCA_SVR,30.72969,27.90183,15.59373,3.95703,4.86727,2.1955,0.83535,0.91029,,,,,,,,,,,
Type04,230,PURE_GPR,24.9537,22.41542,12.84566,4.48557,48.40044,4.21274,0.82235,0.90252,,,,,,,,,,,
Type04,230,PURE_KRR,25.80465,22.9938,10.98884,3.70199,38.36808,3.54689,0.84902,0.91835,,,,,,,,,,,
Type04,230,PURE_SVR,24.95256,22.41175,12.78911,4.48014,48.2277,4.21493,0.82267,0.90271,,,,,,,,,,,
Type04,230,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,,,
Type04,240,PCA_GPR,32.40554,29.83185,12.41966,4.39247,5.82646,1.12034,0.83175,0.90815,,,,,,,,,,,
Type04,240,PCA_KRR,25.97901,23.51261,14.65456,6.16907,47.60561,7.1514,0.76311,0.86564,,,,,,,,,,,
Type04,240,PCA_LINEAR,25.65529,23.25391,15.70073,6.5988,49.26434,8.05539,0.7482,0.85597,,,,,,,,,,,
Type04,240,PCA_SVR,26.35969,23.7429,13.91397,5.63675,44.56354,6.43615,0.77768,0.87494,,,,,,,,,,,
Type04,240,PURE_GPR,26.31633,23.74695,13.99952,5.84393,47.24972,6.63427,0.77942,0.87604,,,,,,,,,,,
Type04,240,PURE_KRR,25.97401,23.50234,14.53118,6.11902,47.80182,7.05765,0.76461,0.86661,,,,,,,,,,,
Type04,240,PURE_SVR,25.79977,23.3447,14.35464,6.11202,49.23798,7.1282,0.7659,0.86743,,,,,,,,,,,
Type04,240,RATIO_CTRL,2.50747,2.2962,4.05023,1.83635,4.17469,1.53097,0.90191,0.94843,,,,,,,,,,,
Type04,250,PCA_GPR,28.56367,25.31572,13.39002,2.96982,23.81015,3.10146,0.85052,0.91922,,,,,,,,,,,
Type04,250,PCA_KRR,25.81697,23.26523,16.28342,5.6064,47.27039,6.78752,0.7768,0.87438,,,,,,,,,,,
