Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,
Type03,245,RATIO_CTRL,1.80728,1.63048,3.07399,1.3625,4.78142,1.90653,0.94169,0.96997,,,,,,,,,,
Type03,250,PCA_GPR,10.39417,10.10143,6.01346,1.67059,13.30908,1.90167,0.92762,0.96245,,,,,,,,,,
Type03,250,PCA_KRR,8.32186,7.61575,2.16365,0.79157,4.23422,0.12083,0.95579,0.9774,,,,,,,,,,
Type03,250,PCA_LINEAR,8.08257,7.35533,2.19553,0.72644,3.30242,0.42328,0.95835,0.97873,,,,,,,,,,
Type03,250,PCA_SVR,9.16366,8.52724,3.68835,0.7943,0.93171,0.05309,0.95503,0.977,,,,,,,,,,
Type03,250,PURE_GPR,8.30264,7.61442,2.52783,0.75471,4.11288,0.35932,0.95651,0.97777,,,,,,,,,,
Type03,250,PURE_KRR,8.4506,7.74363,2.35062,0.83237,3.34534,0.0714,0.95388,0.9764,,,,,,,,,,
Type03,250,PURE_SVR,8.30762,7.51982,2.37613,0.82276,4.57701,0.11151,0.95364,0.97627,,,,,,,,,,
Type03,250,RATIO_CTRL,4.40761,4.30385,3.99549,1.78301,3.23982,2.57266,0.93123,0.96439,,,,,,,,,,
Type03,255,PCA_GPR,9.34057,8.42451,2.61818,0.84257,3.6549,0.11493,0.95552,0.97725,,,,,,,,,,
Type03,255,PCA_KRR,9.76114,8.67084,3.32955,1.1298,4.88567,0.37889,0.94551,0.97199,,,,,,,,,,
Type03,255,PCA_LINEAR,9.22902,8.29444,2.58245,0.85036,4.5694,0.19648,0.95456,0.97675,,,,,,,,,,
Type03,255,PCA_SVR,10.24519,9.34012,4.00196,1.29413,0.85999,0.30536,0.93953,0.96882,,,,,,,,,,
Type03,255,PURE_GPR,9.0677,7.97714,3.03895,1.08159,6.19614,0.32363,0.94831,0.97347,,,,,,,,,,
Type03,255,PURE_KRR,9.8064,8.71368,3.38883,1.2354,4.4027,0.29531,0.94181,0.97004,,,,,,,,,,
Type03,255,PURE_SVR,9.58132,8.4236,3.5776,1.26556,5.19149,0.3673,0.94019,0.96917,,,,,,,,,,
Type03,255,RATIO_CTRL,1.89636,1.65216,3.79313,1.42243,2.76689,2.33418,0.94368,0.97103,,,,,,,,,,
Type03,260,PCA_GPR,7.25191,6.54105,4.92936,1.38189,18.75621,0.75631,0.93729,0.96763,,,,,,,,,,
Type03,260,PCA_KRR,9.25473,8.36204,2.6015,0.94516,2.88272,0.95784,0.95153,0.97516,,,,,,,,,,
Type03,260,PCA_LINEAR,8.70699,8.03695,1.81733,0.62249,3.9486,0.55929,0.96862,0.98406,,,,,,,,,,
Type03,260,PCA_SVR,9.24252,8.29813,2.76341,0.98543,3.06187,1.13577,0.95045,0.97459,,,,,,,,,,
Type03,260,PURE_GPR,7.84858,7.1099,2.85272,0.93624,5.47755,0.46723,0.95557,0.97728,,,,,,,,,,
Type03,260,PURE_KRR,9.22438,8.29494,3.2168,1.15509,2.89927,1.14956,0.9455,0.97199,,,,,,,,,,
Type03,260,PURE_SVR,9.13182,8.15971,3.26652,1.15851,3.0083,1.26931,0.94582,0.97216,,,,,,,,,,
Type03,260,RATIO_CTRL,3.09339,2.81188,4.86208,1.96068,4.15689,3.4432,0.9256,0.96136,,,,,,,,,,
Type03,265,PCA_GPR,7.30179,6.55564,10.70475,2.74309,34.34333,3.58314,0.89976,0.94724,,,,,,,,,,
Type03,265,PCA_KRR,9.24784,8.40398,3.74266,1.4704,0.27543,0.27778,0.93848,0.96826,,,,,,,,,,
Type03,265,PCA_LINEAR,8.64406,8.01049,2.51913,1.09408,3.78727,0.82629,0.95454,0.97674,,,,,,,,,,
Type03,265,PCA_SVR,8.86975,7.78075,4.54546,1.52006,5.07061,0.57123,0.93668,0.96731,,,,,,,,,,
Type03,265,PURE_GPR,7.10788,6.46774,3.18993,1.46892,5.20639,0.89125,0.94428,0.97134,,,,,,,,,,
Type03,265,PURE_KRR,9.19415,8.26386,4.28527,1.68316,0.52809,0.60745,0.93346,0.96559,,,,,,,,,,
Type03,265,PURE_SVR,9.41788,8.39697,4.74066,1.64282,0.44239,1.07858,0.9368,0.96737,,,,,,,,,,
