Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice
Type04,230,PCA_KRR,4.32267,4.07185,0.86819,0.42526,1.96135,0.82704,0.98165,0.99074
Type04,230,PCA_LINEAR,4.20016,3.85849,1.28755,0.33228,1.10537,0.55786,0.9846,0.99224
Type04,230,PCA_SVR,4.66546,4.48451,1.58569,0.44465,3.939,0.52999,0.97866,0.98921
Type04,230,PURE_GPR,5.81758,5.66324,3.145,0.77077,8.18762,1.08051,0.96672,0.98308
Type04,230,PURE_KRR,4.24116,3.97813,0.69313,0.32962,1.53705,0.58803,0.98555,0.99272
Type04,230,PURE_SVR,4.29857,3.98384,0.49395,0.14236,0.22376,0.03117,0.99183,0.9959
Type04,230,RATIO_CTRL,0,0,0,0,0,0,1,1
Type04,240,PCA_GPR,13.53054,12.93999,16.9545,3.91252,51.60439,4.65927,0.8676,0.92911
Type04,240,PCA_KRR,4.74705,4.10577,3.89682,0.88385,5.48498,0.13498,0.96286,0.98108
Type04,240,PCA_LINEAR,4.79704,4.2072,3.51491,0.68399,3.00915,0.29929,0.97087,0.98522
Type04,240,PCA_SVR,4.72305,4.19655,3.74946,0.9191,4.9634,0.84315,0.96149,0.98037
Type04,240,PURE_GPR,4.39098,3.78551,3.69226,0.92657,6.20114,0.23325,0.95908,0.97911
Type04,240,PURE_KRR,4.91265,4.20134,3.87977,0.88949,5.91132,0.07918,0.95811,0.9786
Type04,240,PURE_SVR,4.49889,3.86171,3.8598,0.92977,6.00992,0.00293,0.95728,0.97818
Type04,240,RATIO_CTRL,1.53431,1.41507,2.32231,0.76398,0.61225,0.81744,0.97272,0.98617
Type04,250,PCA_GPR,8.45451,8.20193,7.75147,1.53216,21.163,1.78917,0.94424,0.97132
Type04,250,PCA_KRR,5.30867,4.6637,2.17571,0.88109,2.98883,0.58916,0.96492,0.98215
Type04,250,PCA_LINEAR,5.22041,4.60803,1.76242,0.6068,1.96194,0.03761,0.97414,0.9869
Type04,250,PCA_SVR,5.25328,4.95223,2.5273,1.05778,0.21367,1.2351,0.957,0.97803
Type04,250,PURE_GPR,5.12098,4.36396,3.17292,1.01834,4.94011,0.36262,0.95248,0.97566
Type04,250,PURE_KRR,5.59207,4.83811,3.5216,1.11264,2.9578,0.8259,0.94852,0.97358
Type04,250,PURE_SVR,5.20323,4.57441,3.33354,1.16226,3.03994,0.94211,0.94948,0.97408
Type04,250,RATIO_CTRL,1.32889,1.2577,1.6112,0.70773,1.81021,1.54779,0.9723,0.98596
Type04,270,PCA_GPR,6.83534,5.98773,13.05636,3.51849,43.08733,4.14784,0.88635,0.93975
Type04,270,PCA_KRR,5.46649,4.87449,1.3837,0.45413,1.34176,0.14099,0.98283,0.99134
Type04,270,PCA_LINEAR,5.31346,4.69971,1.7448,0.6727,3.23936,0.96471,0.97599,0.98785
Type04,270,PCA_SVR,6.12127,5.29337,2.32774,0.8326,3.29825,1.44204,0.9713,0.98544
Type04,270,PURE_GPR,6.23689,5.3645,5.06857,1.06151,0.46559,0.85925,0.94677,0.97266
Type04,270,PURE_KRR,5.95565,5.06621,4.68727,0.94027,1.32007,0.06452,0.95106,0.97492
Type04,270,PURE_SVR,5.92505,5.0353,4.73501,1.02419,2.16948,0.02876,0.94382,0.9711
Type04,270,RATIO_CTRL,2.22886,1.9101,4.13694,1.57213,3.06171,2.76877,0.95008,0.9744
Type04,280,PCA_GPR,12.06522,10.33614,22.79531,6.07154,74.1182,6.10542,0.81533,0.89827
Type04,280,PCA_KRR,4.9627,4.50146,3.42007,1.40199,6.31966,2.09421,0.95356,0.97623
Type04,280,PCA_LINEAR,5.13415,4.72938,2.63021,0.99097,2.71994,0.4147,0.96747,0.98346
Type04,280,PCA_SVR,4.98358,4.46978,4.44599,1.9571,9.55423,3.41117,0.93787,0.96794
Type04,280,PURE_GPR,4.57504,3.88069,5.90555,2.21615,11.40728,1.882,0.91271,0.95436
Type04,280,PURE_KRR,5.56297,4.85202,6.50342,2.14447,4.57292,2.63272,0.91302,0.95453
Type04,280,PURE_SVR,5.60626,4.89035,6.46567,2.23438,3.52167,3.03589,0.91064,0.95323
Type04,280,RATIO_CTRL,3.26884,2.87265,4.55959,2.00013,4.8028,4.35876,0.93786,0.96793
Type05,250,PCA_GPR,13.66898,13.14655,16.94982,4.56274,53.83733,5.94453,0.84446,0.91567
Type05,250,PCA_KRR,9.38203,9.25188,10.05203,2.51349,30.50056,3.64561,0.90687,0.95116
Type05,250,PCA_LINEAR,9.74082,9.56667,10.40604,2.73203,32.37676,3.67323,0.89774,0.94612
Type05,250,PCA_SVR,9.59974,9.43215,10.68744,2.72066,32.59652,4.11228,0.90594,0.95065
Type05,250,PURE_GPR,9.35864,9.14605,10.326,2.73484,32.89595,3.7442,0.90465,0.94994
Type05,250,PURE_KRR,9.42192,9.28216,10.06272,2.58722,30.40217,3.76008,0.90795,0.95176
Type05,250,PURE_SVR,9.7118,9.58003,10.34483,2.40088,31.38285,4.09126,0.91528,0.95576
Type05,250,RATIO_CTRL,0,0,0,0,0,0,1,1
Type05,270,PCA_GPR,3.81436,3.34747,4.32802,1.39386,12.17731,0.61881,0.93925,0.96868
Type05,270,PCA_KRR,9.83721,9.60397,10.22967,2.77108,34.18866,4.1877,0.90125,0.94806
Type05,270,PCA_LINEAR,9.45018,9.26807,9.63279,2.61004,32.56544,4.11765,0.90507,0.95017
Type05,270,PCA_SVR,10.26804,9.93842,11.11764,3.09193,35.97032,4.36156,0.89227,0.94307
Type05,270,PURE_GPR,7.62683,7.24317,8.35101,2.48288,29.42476,3.48703,0.91121,0.95354
Type05,270,PURE_KRR,10.05951,9.83492,10.50312,3.02435,34.68419,4.05825,0.89232,0.9431
Type05,270,PURE_SVR,9.79408,9.558,10.49709,3.06585,34.968,3.94336,0.89206,0.94295
Type05,270,RATIO_CTRL,1.38542,1.2792,2.04803,0.66202,0.15489,0.53467,0.96938,0.98445
Type05,280,PCA_GPR,6.70944,5.78565,13.66402,3.19911,44.18354,2.2387,0.89104,0.94238
Type05,280,PCA_KRR,9.55588,9.4333,8.58288,3.15723,23.44851,5.24211,0.89749,0.94598
Type05,280,PCA_LINEAR,11.09591,10.92816,11.07604,3.61738,33.22582,5.99418,0.88186,0.93722
Type05,280,PCA_SVR,6.49127,6.36136,4.34194,1.75068,5.85112,3.30916,0.93574,0.9668
Type05,280,PURE_GPR,11.84412,11.58107,11.22037,4.24507,34.95691,5.91427,0.86528,0.92778
