Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type04,230,PURE_GPR,15.14059,14.30763,3.42066,1.12660,1.76863,1.14971,57.67241,0.95541,0.97720,13.88005
Type04,230,PURE_KRR,13.74088,12.73233,3.89945,0.78464,7.54947,1.86213,327.92518,0.96623,0.98282,12.32214
Type04,230,PURE_SVR,13.94679,12.95018,3.79135,0.78262,7.93162,1.87297,322.58358,0.96168,0.98046,12.55125
Type04,230,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type04,235,PCA_GPR,25.71265,25.24494,22.02075,5.77064,60.62200,3.97252,2304.68970,0.82119,0.90182,24.98586
Type04,235,PCA_KRR,13.87035,12.84489,4.01592,0.77607,10.00220,0.70917,256.31755,0.96649,0.98296,12.43800
Type04,235,PCA_LINEAR,14.09890,13.12070,4.44873,0.82679,9.60460,0.48962,194.60204,0.96507,0.98222,12.67835
Type04,235,PCA_SVR,13.40520,12.30484,4.23691,0.97668,12.26179,0.99538,335.85120,0.95823,0.97867,11.97879
Type04,235,PURE_GPR,14.52011,13.53500,3.86844,0.86232,5.66721,0.44924,84.22978,0.96096,0.98009,13.10196
Type04,235,PURE_KRR,13.61356,12.59870,3.80264,0.84769,10.56183,0.76950,216.92444,0.96005,0.97962,12.23246
Type04,235,PURE_SVR,13.99354,12.98781,3.58779,0.87195,10.81429,0.73398,205.25539,0.95512,0.97704,12.60063
Type04,235,RATIO_CTRL,1.92720,1.71602,2.96693,0.74352,2.47997,1.98677,218.54049,0.97204,0.98582,1.56024
Type04,240,PCA_GPR,21.98775,21.51556,16.58476,3.98568,45.58301,2.78063,1980.09917,0.87507,0.93337,21.23175
Type04,240,PCA_KRR,13.06519,12.11014,4.22467,1.54074,10.33263,0.83423,2.35210,0.94549,0.97198,11.80286
Type04,240,PCA_LINEAR,13.28221,12.38508,4.55099,1.44047,8.96718,0.69551,22.88625,0.94863,0.97364,12.04746
Type04,240,PCA_SVR,12.18373,11.24684,5.63324,2.02707,18.78773,1.20257,224.88646,0.92899,0.96319,11.06649
Type04,240,PURE_GPR,13.14511,12.17418,4.30002,1.49390,9.89897,0.89559,47.14166,0.94125,0.96974,11.86937
Type04,240,PURE_KRR,12.68945,11.76685,3.81513,1.55097,10.49444,0.92652,111.07619,0.93572,0.96679,11.49193
Type04,240,PURE_SVR,13.07724,12.18496,3.81695,1.57343,11.29257,0.85856,111.52475,0.93350,0.96561,11.91858
Type04,240,RATIO_CTRL,1.97432,1.78787,3.54634,1.21816,4.26290,2.65156,563.90745,0.95493,0.97695,1.78315
Type04,245,PCA_GPR,20.31911,19.85888,12.06293,3.25090,29.79707,0.55842,1372.47922,0.89427,0.94418,19.54585
Type04,245,PCA_KRR,14.12211,13.07692,4.71504,1.32919,10.11731,1.92591,6.48927,0.95131,0.97505,12.70855
Type04,245,PCA_LINEAR,14.32320,13.32545,4.83072,1.28470,9.04937,1.92291,32.58581,0.95119,0.97498,12.94322
Type04,245,PCA_SVR,13.51144,12.51534,4.62220,1.57371,17.10116,2.03382,115.29077,0.94172,0.96998,12.25873
Type04,245,PURE_GPR,13.87029,12.83410,4.68274,1.45786,11.54153,2.20883,30.39305,0.93819,0.96811,12.54603
Type04,245,PURE_KRR,13.68224,12.66019,4.14010,1.38164,9.43164,2.10585,185.44920,0.93995,0.96905,12.35617
Type04,245,PURE_SVR,14.02822,13.04039,4.14120,1.43027,11.20554,2.07905,148.98259,0.93939,0.96875,12.72278
Type04,245,RATIO_CTRL,2.07300,1.79455,4.49373,1.28723,5.30753,2.24487,640.70771,0.95214,0.97548,1.78766
Type04,250,PCA_GPR,17.72866,16.91394,7.50287,2.27635,11.05228,3.10600,300.19410,0.92125,0.95901,16.55711
Type04,250,PCA_KRR,14.43800,13.25952,6.99996,2.06257,12.78295,4.46647,485.12569,0.92647,0.96183,12.90170
Type04,250,PCA_LINEAR,14.51222,13.31313,6.84071,1.94387,12.07703,4.58742,543.12001,0.92885,0.96312,12.94244
Type04,250,PCA_SVR,14.58667,13.56277,6.83176,2.00556,10.94175,4.21620,292.61108,0.92623,0.96170,13.18542
Type04,250,PURE_GPR,13.96055,12.81716,6.62048,2.18671,13.69866,4.87359,353.36168,0.90590,0.95063,12.55999
Type04,250,PURE_KRR,13.97164,12.77316,6.41571,2.09518,11.26199,4.77016,221.92683,0.91251,0.95425,12.45775
Type04,250,PURE_SVR,13.87360,12.83261,6.33623,2.14005,13.76313,4.81720,302.51624,0.90969,0.95271,12.55832
Type04,250,RATIO_CTRL,1.91639,1.71801,3.06207,1.10243,3.38900,0.43260,266.83954,0.95726,0.97816,1.71587
Type04,260,PCA_GPR,14.13365,12.76017,5.10388,1.86267,16.79524,2.94493,252.19511,0.93359,0.96566,12.47309
Type04,260,PCA_KRR,15.09364,13.99535,5.58649,1.66351,9.19757,2.16307,120.79085,0.94085,0.96953,13.63042
Type04,260,PCA_LINEAR,15.18098,13.78738,4.90610,1.45959,8.44127,2.40716,57.26760,0.94565,0.97207,13.34015
Type04,260,PCA_SVR,15.40668,14.24310,5.77078,1.83046,6.75132,1.96476,198.44823,0.93769,0.96784,13.88188
Type04,260,PURE_GPR,14.50654,13.37369,5.34718,1.66003,5.50928,2.68420,583.68356,0.91007,0.95292,13.04227
Type04,260,PURE_KRR,14.49976,13.37718,5.27470,1.77186,7.10052,2.65658,519.34978,0.91238,0.95418,13.08800
Type04,260,PURE_SVR,13.69450,12.66650,5.29695,1.72928,8.33933,2.71912,455.27843,0.91650,0.95643,12.39973
Type04,260,RATIO_CTRL,3.46834,3.16496,6.20375,2.12587,9.19359,4.15265,1153.74027,0.92658,0.96189,2.93293
Type04,265,PCA_GPR,12.74839,11.65836,8.16675,2.51111,33.72937,3.18432,1000.42250,0.91469,0.95544,11.47824
Type04,265,PCA_KRR,15.54571,14.55933,5.94592,1.37302,10.19808,1.40822,45.81754,0.94557,0.97202,14.16239
